District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Alabama 1st,AL-01,Republican,Bradley,Byrne,(BRADD-lee BURN),/'bɹæd.li bɜɹn/,2016,1955,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,0,96.4,31.7,68.2,,,,,37.4,61.8,R+,14,38.7,61.3,R+,15,68.5,25.6,2.5,1.3,1.1,1,23.9,308,27.3,306,"$44,535.00",358,0,100,31.8,68.2,0,100,1,,,,,152234,48278,103758,198,0,196374,,,,298837,111735,184786,299728,115975,183753,,-14.3,-15,682423,449539,187508,19086,9296,7644,9350,515948,353347,132261,12904,6918,5524,4994
Alabama 2nd,AL-02,Republican,Martha,Roby,(MAR-thuh ROH-bee),/'mɑɹ.θə 'ɹoʊ.bi/,2010,1976,Woman,White - Non-Hispanic,Presbyterian,No,Re-elected,40.5,48.8,32.6,67.3,,,,,36.4,62.9,R+,15,35.2,64.8,R+,18,66.5,27.8,3,1.2,0.5,1,21.4,349,24.4,353,"$42,395.00",381,45.4,54.6,32.6,67.4,36.3,63.7,2,,,,,167952,54692,113103,157,103092,180591,,,,289864,105572,182287,287240,101076,186164,,-15.3,-18.5,686078,438782,201723,24648,7900,3072,9953,522837,347855,145568,15912,6059,2371,5072
Alabama 3rd,AL-03,Republican,Mike,Rogers,(MIKE RAH-jerz),/maɪk 'ɹɑ.dʒəɹz/,2002,1958,Man,White - Non-Hispanic,Baptist,No,Re-elected,32.9,66.9,33.7,66.1,,,,,36.8,62.3,R+,15,36.9,63.1,R+,17,71.5,23.9,2.3,1.1,0.3,0.9,20.8,356,22.6,381,"$42,171.00",387,33,67,33.8,66.2,35.9,64.1,3,,,,,156620,52816,103558,246,98141,175306,,,,280128,103089,174465,279655,103221,176434,,-14.8,-16.8,680857,473473,170355,17932,7923,2117,9057,523481,374072,125248,11783,5992,1705,4681
Alabama 4th,AL-04,Republican,Robert,Aderholt,(RAH-bert ADD-er-holt),/'ɹɑ.bəɹt 'æ.ɾəɹ.hoʊlt/,1996,1965,Man,White - Non-Hispanic,Congregationalist,No,Re-elected,0,98.5,0,98.6,,,,,24,74.8,R+,28,25.8,74.2,R+,28,86.9,6.5,4.3,0.5,0.7,1,16.1,415,16.9,429,"$39,608.00",406,0,100,0,100,25.9,74.1,4,,,,,134752,0,132831,1921,69706,199071,,,,274505,65818,205423,275218,71095,204123,,-27.7,-27.9,681487,578453,46163,38837,3200,5218,9616,521081,452704,34104,22579,2369,3870,5455
Alabama 5th,AL-05,Republican,Mo,Brooks,(MOH BROOKS),/moʊ bɹʊks/,2010,1954,Man,White - Non-Hispanic,Christian,No,Re-elected,33.2,66.7,0,74.4,,,,,34.9,63.9,R+,17,36.7,63.3,R+,17,76.1,16.3,3.9,1.6,0.7,1.4,31.3,161,32.7,216,"$51,531.00",253,33.2,66.8,0,100,35,65,5,,,,,154974,0,115338,39636,101772,189185,,,,297263,103598,189860,291230,107005,184225,,-16.7,-16.9,683019,506307,114887,32572,11051,4753,13449,523079,398175,85119,20508,8381,3628,7268
Alabama 6th,AL-06,Republican,Gary,Palmer,(GAIR-ee PAWL-mer),/'gɛ.ɹi 'pɔl.məɹ/,2014,1954,Man,White - Non-Hispanic,Christian,No,Re-elected,25.4,74.5,23.7,76.2,,,,,24.7,74.3,R+,27,25.2,74.8,R+,28,80.8,12.5,4.1,1.6,0.3,0.8,35.3,115,37,158,"$61,524.00",144,25.4,74.6,23.7,76.3,28.7,71.3,6,,,,,178449,42291,135945,213,88267,219262,,,,314343,77517,233566,311203,78559,232644,,-27,-28.4,682422,537110,91612,33409,10985,1830,7476,517305,417809,64797,21238,8052,1410,3999
Alabama 7th,AL-07,Democratic,Terri,Sewell,(TAIR-ee SOO-uhl),/'tɛ.ɹi 'su.əl/,2010,1965,Woman,Black - African-American,Protestant,No,Re-elected,98.4,0,98.4,0,,,,,72.4,27.1,D+,21,71.8,28.2,D+,18,35.7,60.2,2.6,0.7,0.2,0.6,19.5,384,29.1,272,"$33,928.00",431,100,0,100,0,75.9,24.1,7,,,,,135899,133687,0,2212,232520,73835,,,,315244,228276,85488,314445,225642,88803,,20.8,18.1,683450,220738,432189,19118,4558,1273,5574,523546,186799,315181,13412,3872,1042,3240
Alaska At-Large,AK-00,Republican,Don,Young,(DAHN YUHNG),/dɑn jʌŋɡ/,1973 Special,1933,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,36,50.3,41,51,36.6,51.3,R+,9,41.2,55.3,R+,9,38.9,61.1,R+,15,68.4,3.1,4.7,6.2,13.2,4.5,29.7,200,36.6,164,"$73,355.00",68,41.7,58.3,44.6,55.4,30.9,69.1,8,,,,,279725,114596,142566,22563,82927,185296,318608,116454,163387,297625,122640,164676,317435,123594,193841,-9.5,-9.3,-14.8,708570,454831,21862,39038,44357,102124,46358,521588,356564,16051,24290,32158,69054,23471
Arizona 1st,AZ-01,Democratic,Tom,O'Halleran,(TAHM oh-HAL-er-uhn),/tɑm oʊ.'hæ.lɜ.ɹən,2016,1946,Man,White - Non-Hispanic,Roman Catholic,No,Open - Ran for Senate and lost,50.7,43.4,52.6,47.4,46.6,47.7,R+,2,47.9,50.4,R+,3,48.4,51.6,R+,5,56.2,2.1,18.1,1.8,20.5,1.3,23.2,318,33.2,207,"$48,892.00",301,53.9,46.1,52.6,47.4,51.9,48.1,9,,,,,185114,97391,87723,0,122774,113594,284973,132874,135928,260056,124550,131115,254287,123079,131208,-1.7,-3.2,-5.3,710224,361485,14687,147846,11190,162087,12929,522309,293758,11113,94295,9180,107182,6781
Arizona 2nd,AZ-02,Republican,Martha,McSally,(MAR-thuh mik-SAL-ee),/'mɑɹ.θə mɪk.'sæ.li/,2014,1966,Woman,White - Non-Hispanic,Christian,No,Re-elected,43,57,49.9,50,49.6,44.7,D+,1,48.4,49.9,R+,3,49.5,50.5,R+,4,69.2,3.5,21.7,3,0.9,1.7,33,141,38.8,141,"$48,095.00",311,43,57,50,50,50.4,49.6,10,,,,,219351,109543,109704,104,147338,144884,315839,156676,141196,299691,144966,149651,304624,150877,153747,1.5,-2.8,-4.2,710224,457249,25861,183537,20664,6472,16441,558252,386563,19389,121379,16686,4899,9336
Arizona 3rd,AZ-03,Democratic,Raúl,Grijalva,(rah-OOL gree-HAL-vuh) [Rs are trilled],/rɑ.'ul gri.'hæl.və/,2002,1948,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,88.1,0,55.7,44.2,62.4,32.5,D+,15,61.4,36.9,D+,10,58.8,41.2,D+,5,34.6,3.9,55.2,2.1,3.1,1.2,15.6,418,25.9,326,"$42,953.00",373,100,0,55.8,44.2,61.1,38.9,11,,,,,104428,58192,46185,51,98468,62663,208934,130466,67952,177248,108902,65482,174798,102818,71980,14.6,10.5,5.1,710224,206608,27375,430398,12954,22441,10448,497743,172005,19441,274610,10419,15302,5966
Arizona 4th,AZ-04,Republican,Paul,Gosar,(PAWL GOH-sar),/pɔl 'goʊ.sɑɹ/,2010,1958,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,28.5,71.5,25.8,70,27.5,67.7,R+,22,31,67.2,R+,20,34.9,65.1,R+,19,79.7,1.5,14.5,1.2,1.8,1.3,18.6,397,20.1,411,"$46,467.00",340,28.5,71.5,26.9,73.1,29.8,70.2,12,,,,,175179,45179,122560,7440,69154,162907,298483,82192,202043,258046,80035,173394,247509,86346,161163,-22.2,-20.4,-18.8,710224,538609,11065,127216,8356,12667,12311,556383,443629,8123,80797,6662,10146,7026
Arizona 5th,AZ-05,Republican,Andy,Biggs,(ANN-dee BIGZ),/'æn.di bɪgz/,2016,1958,Man,White - Non-Hispanic,Mormon,No,Open - Retired,35.9,64.1,30.4,69.6,36.5,57.6,R+,12,34.6,63.8,R+,17,36.7,63.3,R+,17,76.8,2.8,14,4.4,0.8,1.3,35.1,117,36.1,171,"$69,784.00",87,35.9,64.1,30.4,69.6,32.8,67.2,13,,,,,179463,54596,124867,0,89589,183470,332093,121280,191432,293748,101511,187304,283580,104014,179566,-12.3,-16.8,-17,710224,518678,20369,118907,31210,6041,15019,512943,394037,14141,71636,22337,4087,6705
Arizona 6th,AZ-06,Republican,David,Schweikert,(DAY-vid SHWAHY-kert),/'deɪ.vɪd 'ʃwaɪ.kəɹt/,2010,1962,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,37.9,62.1,35.1,64.9,42.4,52.4,R+,6,38.8,59.5,R+,12,41.6,58.4,R+,12,79.2,2.3,12.3,3.6,1.4,1.3,42,59,45.4,85,"$63,495.00",124,37.9,62.1,35.1,64.9,35.2,64.8,14,,,,,199776,70198,129578,0,97666,179706,338331,143571,177332,313417,121661,186537,313173,130426,182747,-6.4,-12.5,-12,710224,534954,16932,107938,25771,11141,13488,554574,439087,12503,68057,19933,7677,7317
Arizona 7th,AZ-07,Democratic,Ruben,Gallego,(ROO-bin GUY-ay-goh),/'ɹu.bɪn 'gaɪ.eɪ.go/,2014,1979,Man,Hispanic - Mexican/Colombian,Roman Catholic,No,Re-elected,75.2,24.7,74.9,0,71.8,22.6,D+,25,71.7,26.5,D+,21,65.5,34.5,D+,12,26.7,9,58.2,2.8,2.1,1.3,13.8,427,27.1,309,"$35,243.00",427,75.3,24.7,100,0,100,0,15,,,,,72454,54235,0,18219,104489,0,164399,117958,37232,140907,101028,37353,131280,85991,45289,24.9,21,11.8,710224,148948,61376,457064,17438,13930,11468,474491,126628,42663,275963,13180,9742,6315
