CD114_Name,FIPS,State_FIPS,CD114_FIPS,StateCode,long,lat
AL-03,0103,01,03,AL,-85.7058157416493,33.1568137383896
AL-07,0107,01,07,AL,-87.62305709797,32.446048613196
AL-05,0105,01,05,AL,-86.714652322993,34.7547308233537
AL-06,0106,01,06,AL,-86.7155905209645,33.2649025665214
AL-02,0102,01,02,AL,-86.0710781605785,31.7093990996581
AL-04,0104,01,04,AL,-87.2013508929609,34.1189075405622
AL-01,0101,01,01,AL,-87.7678530793906,31.0876971435643
AK-00,0200,02,00,AK,-154.646123607917,67.4145738043602
AZ-07,0407,04,07,AZ,-112.122781127038,33.4295404723054
AZ-08,0408,04,08,AZ,-112.302780782952,33.6913298357183
AZ-02,0402,04,02,AZ,-109.957891588612,31.9263379245661
AZ-04,0404,04,04,AZ,-113.221800643093,34.609572888817
AZ-03,0403,04,03,AZ,-112.446345623043,32.3651776468984
AZ-05,0405,04,05,AZ,-111.715489301982,33.3414445144494
AZ-01,0401,04,01,AZ,-110.734601470476,34.9839366607842
AZ-06,0406,04,06,AZ,-111.89277380215201,33.6700719931743
AZ-09,0409,04,09,AZ,-111.954756001195,33.4090178154743
AR-04,0504,05,04,AR,-93.2118706536346,34.2278070728743
AR-01,0501,05,01,AR,-91.245760484925,35.3016171930574
AR-02,0502,05,02,AR,-92.3937383290922,35.0908013733797
AR-03,0503,05,03,AR,-93.5994616048217,36.0052880392193
CA-44,0644,06,44,CA,-118.236357778999,33.8463680943003
CA-02,0602,06,02,CA,-123.435596829651,40.1383015752929
CA-09,0609,06,09,CA,-121.307672460951,38.0100332793069
CA-53,0653,06,53,CA,-117.029943157945,32.7276487970187
CA-03,0603,06,03,CA,-122.093473444087,39.0291759272213
CA-20,0620,06,20,CA,-121.216379031545,36.3586774153189
CA-25,0625,06,25,CA,-118.285934835337,34.5863637045613
CA-13,0613,06,13,CA,-122.215950416063,37.7864341253776
CA-43,0643,06,43,CA,-118.330075109585,33.8968970755552
CA-14,0614,06,14,CA,-122.364823990262,37.5166504471019
CA-16,0616,06,16,CA,-120.533364569137,37.1103626379407
CA-37,0637,06,37,CA,-118.356811007387,34.0117250182218
CA-47,0647,06,47,CA,-119.224274680592,33.7549334024525
CA-31,0631,06,31,CA,-117.363242624501,34.1113268172317
CA-21,0621,06,21,CA,-119.849579568959,36.0821275663596
CA-10,0610,06,10,CA,-121.062462073109,37.5800711379684
CA-36,0636,06,36,CA,-115.720618047772,33.7462590009499
CA-38,0638,06,38,CA,-118.060367545345,33.9415237527362
CA-29,0629,06,29,CA,-118.433175029406,34.2770384724063
CA-30,0630,06,30,CA,-118.539913299927,34.1965246256508
CA-40,0640,06,40,CA,-118.174970679298,33.9714849058312
CA-45,0645,06,45,CA,-117.682499487138,33.7153126353513
CA-06,0606,06,06,CA,-121.482386336073,38.5954921746022
CA-08,0608,06,08,CA,-116.811443032619,35.6759831242063
CA-24,0624,06,24,CA,-120.17246050894,34.9384451191355
CA-18,0618,06,18,CA,-122.1262210226,37.2178596196796
CA-22,0622,06,22,CA,-119.388867049895,36.4899534016495
CA-32,0632,06,32,CA,-117.91641706708,34.0883208731206
CA-49,0649,06,49,CA,-117.392423288976,33.3281068274271
CA-50,0650,06,50,CA,-116.613773355047,33.1140923602081
CA-11,0611,06,11,CA,-121.990520847709,37.9025485214604
CA-41,0641,06,41,CA,-117.30376497659,33.9131767728349
CA-15,0615,06,15,CA,-121.822276217164,37.6432857379816
CA-23,0623,06,23,CA,-118.537433178063,35.6153259810061
CA-52,0652,06,52,CA,-117.128463415956,32.8872393325144
CA-42,0642,06,42,CA,-117.230429391989,33.6775715973139
CA-04,0604,06,04,CA,-119.938926789125,37.9897688291615
CA-05,0605,06,05,CA,-122.465183198356,38.5293116837335
CA-35,0635,06,35,CA,-117.603106273327,34.0370281075334
CA-39,0639,06,39,CA,-117.842562484386,33.9361880131082
CA-34,0634,06,34,CA,-118.228840202053,34.0718745747347
CA-27,0627,06,27,CA,-117.942315917935,34.2821174361964
CA-51,0651,06,51,CA,-115.519511611034,32.9934521277962
CA-12,0612,06,12,CA,-122.438567194881,37.7521511363775
CA-26,0626,06,26,CA,-119.098561507809,34.2616486191137
CA-46,0646,06,46,CA,-117.897713798186,33.7871768474065
CA-07,0607,06,07,CA,-121.218461736029,38.4826202307706
CA-17,0617,06,17,CA,-121.964218533599,37.4379419339683
CA-19,0619,06,19,CA,-121.588489248879,37.2046661624766
CA-48,0648,06,48,CA,-117.884175151791,33.6388539818843
CA-28,0628,06,28,CA,-118.291862393946,34.2466513476538
CA-01,0601,06,01,CA,-121.509494459974,40.7471762975943
CA-33,0633,06,33,CA,-118.591650030868,34.0271242579463
CO-01,0801,08,01,CO,-104.899405555805,39.7367558075359
CO-05,0805,08,05,CO,-105.340307499588,38.822986298244
CO-04,0804,08,04,CO,-103.375432976689,39.0624726743327
CO-06,0806,08,06,CO,-104.73731044668,39.7813163648367
CO-02,0802,08,02,CO,-105.73103047838,40.1463017280879
CO-07,0807,08,07,CO,-105.049192197773,39.8229835300734
CO-03,0803,08,03,CO,-107.237626328778,38.7793713550441
CT-05,0905,09,05,CT,-73.2233950945614,41.6904978430441
CT-02,0902,09,02,CT,-72.2045596430235,41.6619447612104
CT-01,0901,09,01,CT,-72.803809907086,41.8074721483852
CT-03,0903,09,03,CT,-72.8721724458308,41.3811815771517
CT-04,0904,09,04,CT,-73.3703755397926,41.2171666870628
DE-00,1000,10,00,DE,-75.5009486976924,39.0006281912576
DC-98,1198,11,98,DC,-77.0165599196747,38.9041777330986
FL-09,1209,12,09,FL,-81.1986648252127,28.1159166144595
FL-08,1208,12,08,FL,-80.7321319958775,28.1607090105905
FL-13,1213,12,13,FL,-82.7220713298657,27.8857589195621
FL-05,1205,12,05,FL,-81.7472913602883,29.3966461553655
FL-03,1203,12,03,FL,-82.7184421414472,29.8673003029425
FL-11,1211,12,11,FL,-82.2063676514561,28.8697374524193
FL-27,1227,12,27,FL,-80.310633000432,25.5544030520299
FL-02,1202,12,02,FL,-84.7371042399318,30.3168737189771
FL-18,1218,12,18,FL,-80.4077004756309,27.1346564233823
FL-15,1215,12,15,FL,-82.0813348709475,28.042310539465
FL-10,1210,12,10,FL,-81.7390444434075,28.5183967196878
FL-24,1224,12,24,FL,-80.2008067057555,25.8986599284659
FL-04,1204,12,04,FL,-81.8945237479887,30.4242886426585
FL-21,1221,12,21,FL,-80.2039426240261,26.4695879315513
FL-22,1222,12,22,FL,-80.1141533121249,26.3714956024643
FL-19,1219,12,19,FL,-81.8885344306899,26.4819847224454
FL-23,1223,12,23,FL,-80.2815673290226,26.0634195190304
FL-17,1217,12,17,FL,-81.5527084751418,27.3207256777923
FL-06,1206,12,06,FL,-81.3759256644744,29.445463714625
FL-12,1212,12,12,FL,-82.4502135377113,28.274086336782698
FL-07,1207,12,07,FL,-81.2199492666648,28.7442899293122
FL-16,1216,12,16,FL,-82.3902422758241,27.3073057389091
FL-14,1214,12,14,FL,-82.478682352293,27.8987326472411
FL-20,1220,12,20,FL,-80.6768706265088,26.5138391087279
FL-25,1225,12,25,FL,-81.1336464345404,26.1533737096446
FL-01,1201,12,01,FL,-86.6594846840224,30.692578803953
FL-26,1226,12,26,FL,-81.1417119390287,25.2283710497867
GA-03,1303,13,03,GA,-84.7328759441016,33.1478885277992
GA-10,1310,13,10,GA,-83.0629588075704,33.4279350918086
GA-11,1311,13,11,GA,-84.6517408455497,34.1884782792159
GA-07,1307,13,07,GA,-84.0819807420936,34.0369413459784
GA-08,1308,13,08,GA,-83.453971510065,31.7837836119219
GA-14,1314,13,14,GA,-85.0965828495535,34.4341747700358
GA-13,1313,13,13,GA,-84.5688291788985,33.6288452761978
GA-09,1309,13,09,GA,-83.6902690388791,34.5070050480538
GA-12,1312,13,12,GA,-82.2197796434724,32.4124577428217
GA-06,1306,13,06,GA,-84.3409630983922,34.0104134536112
GA-04,1304,13,04,GA,-84.0449283067329,33.691434563002304
GA-01,1301,13,01,GA,-81.9687802080195,31.3136046907168
GA-05,1305,13,05,GA,-84.4013006739698,33.705174691534
GA-02,1302,13,02,GA,-84.4123168087579,31.8171459324568
HI-01,1501,15,01,HI,-157.906683832418,21.3676256983318
HI-02,1502,15,02,HI,-160.525955949029,22.2809281362183
ID-01,1601,16,01,ID,-116.031276405704,45.3639042370129
ID-02,1602,16,02,ID,-113.359984653607,43.4691253957904
