"FIPS","StateFIPS","StateCode","County","total_2008","dem_2008","gop_2008","oth_2008","total_2012","dem_2012","gop_2012","oth_2012","total_2016","dem_2016","gop_2016","oth_2016","gop_win_2008","gop_win_2012","gop_win_2016","gop_pct_2008","gop_pct_2012","gop_pct_2016","dem_pct_2008","dem_pct_2012","dem_pct_2016","oth_pct_2008","oth_pct_2012","oth_pct_2016","gop_margin_2008","gop_margin_2012","gop_margin_2016","TrumpWin","RomneyWin","TrumpFlip","ClintonFlip","DrugDeathRate","DrugDeathRateCategory","Area","long","lat","Pop","WhiteShare","BlackShare","HispShare","AsianShare","AmerIndianShare","PacificShare","MultiRacialShare","MaleShare","DeltaWhiteShare","DeltaBlackShare","DeltaHispShare","DeltaAsianShare","DeltaAmerIndianShare","DeltaPacificShare","DeltaMultiRacialShare","DeltaMaleShare","PopPctChg","VotingPop.2011","VotingPop.2015","PopDensity","logPopDensity"
"01001",1,"AL","Autauga County",23641,6093,17403,145,23909,6354,17366,189,24661,5908,18110,643,TRUE,TRUE,TRUE,73.6136373249862,72.6337362499477,73.435789302948,25.7730214457933,26.5757664477812,23.9568549531649,0.613341229220422,0.790497302271111,2.60735574388711,47.8406158791929,46.0579698021665,49.478934349783,TRUE,TRUE,FALSE,FALSE,11,"10.1-12",594.436,32.536382,-86.64449,55347,77.267060545287,19.1591233490523,2.84206912750465,1.19970368764341,0.482410970784324,0.0993730464162466,1.79232840081667,48.5247619563843,-1.96272357472762,1.33255913390416,0.449094374485992,0.294105443955159,0.0195496462325497,0.0115574591495067,0.304951891486259,-0.172640165825761,1.25686059275521,43377,44247,93.1084254654832,1.96898898245935
"01003",1,"AL","Baldwin County",81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901,TRUE,TRUE,TRUE,75.2594794443148,77.3897491410552,77.3514719948985,23.8119219289303,21.5665741045795,19.5653098097566,0.928598626754941,1.04367675436532,3.08321819534488,51.4475575153845,55.8231750364757,57.7861621851419,TRUE,TRUE,FALSE,FALSE,19,"18.1-20",1589.784,30.659218,-87.746067,203709,87.0663544566023,9.53860654168446,4.54962716423919,0.936139296741921,0.738798973044883,0.0603802482953625,1.65972048363106,48.7391327825477,-0.541250637478797,0.0458857499511538,0.135157179032326,0.184473021283798,0.00732997586704287,-0.0100372894926534,0.313599179869455,-0.175945850369544,11.1991178702243,151383,166984,128.13627511662,2.10767209502801
"01005",1,"AL","Barbour County",11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111,TRUE,FALSE,TRUE,50.4385210662081,48.3375512697443,52.2714148219442,48.9853826311264,51.2522907758094,46.660250240616,0.57609630266552,0.410157954446287,1.06833493743985,1.45313843508169,-2.9147395060651,5.6111645813282,TRUE,FALSE,TRUE,FALSE,7,"6.1-8",884.876,31.87067,-85.405456,26489,50.1151421344709,47.7103703424063,4.42447808524293,0.445467930084186,0.577598248329495,0.184982445543433,0.966438899165691,53.4108497867039,-0.760831677752478,0.528482335383863,-0.542421442938188,0.00656664629793086,-0.000288441989073962,0.00576442133071231,0.220306716729058,0.329397023454582,-3.11619911488241,22347,21785,29.9352677663311,1.47618314719592
"01007",1,"AL","Bibb County",8644,2299,6262,83,8391,2200,6131,60,8748,1874,6733,141,TRUE,TRUE,TRUE,72.4433132808885,73.0663806459302,76.9661636945588,26.5964831096714,26.2185675128113,21.4220393232739,0.960203609440074,0.715051841258491,1.61179698216735,45.846830171217,46.8478131331188,55.5441243712849,TRUE,TRUE,FALSE,FALSE,15,"14.1-16",622.582,33.015893,-87.127148,22583,76.0704955054687,22.2158260638533,2.40889164415711,0.230261701279724,0.42509852543949,0.137271398839835,0.921046805118895,53.8900943187353,-0.557823465704899,0.156423588021138,0.606695764711766,0.147150726256759,0.123274458250828,-0.00270498014621082,0.133679673322385,0.279141167079672,-1.21604479244128,18643,18787,36.2731334988805,1.55958507425954
"01009",1,"AL","Blount County",24267,3522,20389,356,23980,2961,20741,278,25384,2150,22808,426,TRUE,TRUE,TRUE,84.0194502822763,86.4929107589658,89.8518751969745,14.5135369019656,12.347789824854,8.46990230066183,1.46701281575803,1.15929941618015,1.67822250236369,69.5059133803107,74.1451209341118,81.3819728963126,TRUE,TRUE,FALSE,FALSE,15,"14.1-16",644.776,33.977448,-86.567246,57673,95.7709846895428,1.87956236020321,8.95392991521162,0.284361833093475,0.653685433391708,0.110970471451112,1.30043521231772,49.4078684999913,-0.783143558936487,0.445089698846828,0.815955606738999,0.0560314337767235,0.0331845008973295,0.00464868245628894,0.244189242959313,-0.0509361642235433,0.522894044236836,46145,46736,89.4465674901051,1.95156367918277
"01011",1,"AL","Bullock County",5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32,FALSE,FALSE,FALSE,25.6879039704524,23.5050770966529,24.2288874707509,74.0720221606648,76.3068822865739,75.0904062965326,0.240073868882733,0.188040616773223,0.680706232716443,-48.3841181902124,-52.801805189921,-50.8615188257817,FALSE,FALSE,FALSE,FALSE,9,"8.1-10",622.805,32.101759,-85.717261,10696,27.1690351533283,69.9607329842932,7.5261780104712,0.233732236350037,0.841436050860135,0.701196709050112,1.09386686611817,54.7587883320868,0.715466677164112,-0.977082759254145,0.297373013686047,0.050026899710008,0.0515031033080083,-0.00606883701400096,0.166154916086027,0.630010891102096,-1.75438596491228,8681,8831,17.173914788738,1.23486930374305
"01013",1,"AL","Butler County",9709,4188,5485,36,9483,4367,5081,35,8685,3716,4891,78,TRUE,TRUE,TRUE,56.4939746626841,53.5800906886007,56.3154864709269,43.1352353486456,46.0508277971106,42.7864133563615,0.370789988670306,0.369081514288727,0.898100172711572,13.3587393140385,7.52926289149003,13.5290731145653,TRUE,TRUE,FALSE,FALSE,9,"8.1-10",776.829,31.751667,-86.681969,20154,53.5526446363005,44.2790513049519,1.17098342760742,0.992358836955443,0.352287387119182,0.0496179418477722,0.774039892825246,46.4969733055473,-1.04533091755741,0.8298534439893,0.244703824857232,0.0756285084604087,0.0467106109541708,0.016195481954724,0.0769428721988131,-0.528427763971436,-3.77196333078686,16600,16283,25.94393360701,1.41403582426551
"01015",1,"AL","Calhoun County",49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376,TRUE,TRUE,TRUE,65.6918890378132,65.4671280276817,69.2396994258696,33.1708703951911,33.5207612456747,27.8558763931104,1.13724056699565,1.0121107266436,2.90442418101993,32.5210186426221,31.9463667820069,41.3838230327592,TRUE,TRUE,FALSE,FALSE,11,"10.1-12",605.868,33.771706,-85.822513,115620,75.5665109842588,21.1779968863518,3.61442656979761,0.885659920428991,0.528455284552846,0.0942743469987891,1.74710257740875,48.2226258432797,-0.880882988908382,0.508780340846634,0.313093371557199,0.134205560727209,0.0319888087049264,0.0013979654626138,0.204510313167004,0.0138735108160333,-2.37847969806733,95536,94756,190.833646932995,2.28065494997518
"01017",1,"AL","Chambers County",14956,6799,8067,90,14562,6853,7596,113,13778,5763,7803,212,TRUE,TRUE,TRUE,53.9382187750736,52.1631644004944,56.6337639715488,45.4600160470714,47.0608432907568,41.8275511685295,0.601765177855041,0.775992308748798,1.53868485992161,8.47820272800214,5.10232110973767,14.8062128030193,TRUE,TRUE,FALSE,FALSE,13,"12.1-14",596.531,32.917943,-85.391812,34123,57.8729888931219,39.7503150367787,2.02502710781584,0.94950619816546,0.26961287108402,0.0586114937139173,1.09896550713595,47.8855903642704,-1.41201315978439,0.83894193571706,0.444289234626799,0.374692426096717,0.067254961529207,0.0146206438106972,0.1165031926307,0.0499401795088659,0.0733180831720335,27912,28159,57.2023918287566,1.75741418851878
"01019",1,"AL","Cherokee County",9745,2306,7298,141,9761,2126,7494,141,10503,1524,8809,170,TRUE,TRUE,TRUE,74.8896870189841,76.7749206023973,83.8712748738456,23.6634171369933,21.7805552709763,14.5101399600114,1.44689584402258,1.44452412662637,1.61858516614301,51.2262698819908,54.994365331421,69.3611349138341,TRUE,TRUE,FALSE,FALSE,15,"14.1-16",553.7,34.069515,-85.654242,25859,92.6447271742913,4.72949456668858,1.53911597509571,0.278433040720832,0.591670211531768,0.0270698789589698,1.7286051278085,49.6500251363162,-0.602886007106861,0.0828977080498365,0.287961062869041,0.070548839920093,0.0758094169521565,0.00397163442555434,0.369658407759224,0.0657935379176635,-0.450415768401601,21585,21670,46.7021852988983,1.66933720264423
